фирмы,услуги,размер,отрасль,наличие_целей_по_улучшению_окр_среды,наличие_менеджера_по_окр_среде,отслеживание_выбросов_CO2,наличие_целевых_уровней_выбросов_CO2,прим_более_благ_ист_энерго,минимал_отходов,меры_по_огр_загряз_воздуха,меры_по_огр_загрязн_возд,наличие_выбросов_CO2
533896,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
534363,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
534516,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
535126,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
535315,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
535457,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
535516,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
535722,Другое Производство,Малый,Производство,Нет,Нет,Не знаю,Нет,Нет,Да,Да,Да,Да
535783,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
535976,Предметы одежды,Малый,Производство,Да,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
536249,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
537562,Предметы одежды,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
537959,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
538316,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
538825,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
538900,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
539355,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Не применимо,Нет,Нет,Нет,Нет
539622,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
539945,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
540358,Неметаллические Минеральные продукты,Малый,Производство,Да,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
540767,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
540957,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
541651,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
541873,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
541886,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
542035,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
542327,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
542378,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
543246,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
544114,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
544306,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
544431,Еда,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
545872,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
547580,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
548253,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Нет
548572,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
549518,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
549711,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
550123,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Не применимо,Нет
551662,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
552604,Еда,Малый,Производство,Да,Нет,,Нет,Нет,Да,Да,Нет,Нет
552811,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
553063,Машины и оборудование,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
553601,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
553985,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Да,Да,Нет,Нет,Нет
554334,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
554412,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
555220,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
556582,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
557201,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
557830,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
558653,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
558863,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
559856,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Да
560067,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
561044,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
561411,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
562053,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
562586,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
562986,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Да,Нет,Нет,Да,Нет
563078,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
563271,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
563318,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
564244,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Не знаю,Нет,Нет
564480,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
564947,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
565970,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
566002,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
566189,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
566245,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
566987,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
567080,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
568502,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
568616,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
569058,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Не применимо,Нет,Не применимо,Нет,Нет
569537,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
569618,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
569628,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
570286,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
571264,Еда,Малый,Производство,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
571530,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
571629,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
571930,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
572296,Машины и оборудование,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
572546,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
572923,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
574337,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
574746,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
575007,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
575568,Другое Производство,Малый,Производство,Нет,Нет,Нет,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Да
575858,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
576381,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
577653,Предметы одежды,Малый,Производство,Нет,Нет,,Не знаю,Не знаю,Не знаю,Не знаю,Не знаю,Не знаю
578036,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
578634,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
579071,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
579125,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
579930,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
580767,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
580959,Машины и оборудование,Малый,Производство,Да,Нет,,Нет,Да,Нет,Нет,Нет,Нет
581413,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
581964,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
582000,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
582360,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
582631,Предметы одежды,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
583066,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
584890,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
585799,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
587415,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
587649,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
587768,Машины и оборудование,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
588127,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
588409,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
588722,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
588794,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
589752,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Не применимо,Нет,Нет
589783,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
589909,Неметаллические Минеральные продукты,Малый,Производство,Не знаю,Не знаю,,Не знаю,Нет,Да,Нет,Да,Не знаю
590301,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
590399,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
590884,Предметы одежды,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592073,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592091,Готовые Металлические Изделия,Средний,Производство,Не знаю,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592175,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592287,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592319,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592449,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592472,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592489,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592521,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592546,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
592577,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
592600,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592629,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592631,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592639,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592804,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
592840,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
592875,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
592906,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,Нет,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Да
593009,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593059,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Не знаю
593085,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
593141,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
593142,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593179,Предметы одежды,Средний,Производство,Да,Нет,,Нет,Нет,Да,Нет,Нет,Нет
593239,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593259,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593344,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593451,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
593454,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
593497,Еда,Средний,Производство,Не знаю,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593508,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593562,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593583,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Не знаю
593596,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593616,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593618,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Да,Да,Нет
593643,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593657,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593704,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593777,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
593851,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
593874,Другое Производство,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
594084,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
594135,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да
594173,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
594322,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
594323,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
594356,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Да,Да,Нет,Да,Да,Да,Да
594511,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
594552,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Нет,Нет
594566,Неметаллические Минеральные продукты,Средний,Производство,Да,Нет,,Нет,Нет,Да,Да,Да,Нет
594616,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
594623,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
594657,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
594903,Предметы одежды,Средний,Производство,Да,Нет,,Нет,Нет,Да,Да,Нет,Нет
594944,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
594960,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
594976,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
595020,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
595063,Неметаллические Минеральные продукты,Средний,Производство,Да,Нет,,Нет,Да,Да,Да,Нет,Нет
595085,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
595272,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
595371,Машины и оборудование,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
595420,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
595428,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Нет,Нет
595437,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Да
595474,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
595673,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
595812,Машины и оборудование,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да
595933,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Не знаю,Нет,Нет,Нет,Нет
595980,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596033,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Да
596112,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596139,Неметаллические Минеральные продукты,Средний,Производство,Да,Да,,Нет,Нет,Да,Нет,Да,Нет
596197,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
596221,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596279,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596557,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596574,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
596628,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596668,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596688,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596715,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
596728,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Нет,Нет,Нет
596829,Предметы одежды,Средний,Производство,Да,Да,,Да,Нет,Да,Нет,Нет,Нет
596882,Готовые Металлические Изделия,Средний,Производство,Да,Да,,Нет,Да,Нет,Нет,Нет,Не знаю
596973,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
597046,Другое Производство,Средний,Производство,Да,Нет,,Нет,Да,Да,Нет,Нет,Нет
597220,Машины и оборудование,Средний,Производство,Нет,Нет,,Не знаю,Не знаю,Не знаю,Не знаю,Не знаю,Нет
597284,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
597285,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
597328,Неметаллические Минеральные продукты,Средний,Производство,Нет,Да,,Нет,Да,Нет,Нет,Нет,Нет
597396,Еда,Средний,Производство,Нет,Да,,Нет,Нет,Нет,Нет,Нет,Нет
597441,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
597522,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Не применимо,Не знаю,Нет,Нет
597647,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
597970,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
598096,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
598150,Неметаллические Минеральные продукты,Средний,Производство,Да,Нет,,Нет,Да,Нет,Нет,Нет,Нет
598307,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Нет,Нет,Не знаю,Нет,Нет,Нет,Да
598328,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
598508,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
598555,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
598571,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
598611,Машины и оборудование,Средний,Производство,Нет,Нет,Нет,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Да
598718,Еда,Средний,Производство,Нет,Нет,Нет,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Да
598809,Еда,Средний,Производство,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да
598811,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Нет,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Да
598857,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599015,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599018,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599089,Другое Производство,Средний,Производство,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Да
599094,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599096,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
599129,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
599134,Еда,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
599138,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да
599145,Машины и оборудование,Средний,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
599161,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599176,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599273,Другое Производство,Средний,Производство,Да,Нет,,Нет,Да,Нет,Нет,Нет,Нет
599285,Еда,Средний,Производство,Да,Нет,,Нет,Нет,Да,Да,Нет,Нет
599348,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Да,Да,Нет,Нет,Нет
599372,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
599403,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599443,Еда,Средний,Производство,Нет,Да,,Нет,Нет,Нет,Не применимо,Нет,Нет
599566,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599752,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Нет
599794,Еда,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599795,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
599827,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599848,Машины и оборудование,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Да,Нет,Нет
599853,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
599893,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да
